Run,AGE,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,dev_stage,Ecotype,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,SRA Study,tissue,AssemblyName
SRR6862415,not applicable,WGS,299,2702669423,PRJNA434660,SAMN08567280,Plant,837465132,SOUTH DAKOTA STATE UNIVERSITY,public,"bam,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",4-8 leaves seedings,Columbia,SRX3817400,USA,North America,USA:Maryland,Illumina HiSeq 4000,13,PAIRED,RANDOM,GENOMIC,Arabidopsis thaliana,ILLUMINA,2018-12-11T00:00:00Z,2018-03-19T18:06:00Z,1,AthMu,SRP133100,leaf,TAIR10
SRR6862416,not applicable,WGS,298,1980821775,PRJNA434660,SAMN08567280,Plant,649999638,SOUTH DAKOTA STATE UNIVERSITY,public,"bam,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",4-8 leaves seedings,Columbia,SRX3817399,USA,North America,USA:Maryland,Illumina HiSeq 4000,16,PAIRED,RANDOM,GENOMIC,Arabidopsis thaliana,ILLUMINA,2018-12-11T00:00:00Z,2018-03-19T18:04:00Z,1,AthMu,SRP133100,leaf,TAIR10
SRR6862417,not applicable,WGS,298,3926093469,PRJNA434660,SAMN08567280,Plant,1265376176,SOUTH DAKOTA STATE UNIVERSITY,public,"bam,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",4-8 leaves seedings,Columbia,SRX3817398,USA,North America,USA:Maryland,Illumina HiSeq 4000,15,PAIRED,RANDOM,GENOMIC,Arabidopsis thaliana,ILLUMINA,2018-12-11T00:00:00Z,2018-03-19T18:06:00Z,1,AthMu,SRP133100,leaf,TAIR10
SRR6862418,not applicable,WGS,299,3052065454,PRJNA434660,SAMN08567280,Plant,917292722,SOUTH DAKOTA STATE UNIVERSITY,public,"bam,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",4-8 leaves seedings,Columbia,SRX3817397,USA,North America,USA:Maryland,Illumina HiSeq 4000,18,PAIRED,RANDOM,GENOMIC,Arabidopsis thaliana,ILLUMINA,2018-12-11T00:00:00Z,2018-03-19T18:05:00Z,1,AthMu,SRP133100,leaf,TAIR10
SRR6862419,not applicable,WGS,298,3549595052,PRJNA434660,SAMN08567280,Plant,1153620108,SOUTH DAKOTA STATE UNIVERSITY,public,"bam,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",4-8 leaves seedings,Columbia,SRX3817396,USA,North America,USA:Maryland,Illumina HiSeq 4000,17,PAIRED,RANDOM,GENOMIC,Arabidopsis thaliana,ILLUMINA,2018-12-11T00:00:00Z,2018-03-19T18:09:00Z,1,AthMu,SRP133100,leaf,TAIR10
SRR6862420,not applicable,WGS,298,4745781416,PRJNA434660,SAMN08567280,Plant,1510343738,SOUTH DAKOTA STATE UNIVERSITY,public,"bam,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",4-8 leaves seedings,Columbia,SRX3817395,USA,North America,USA:Maryland,Illumina HiSeq 4000,20,PAIRED,RANDOM,GENOMIC,Arabidopsis thaliana,ILLUMINA,2018-12-11T00:00:00Z,2018-03-19T18:14:00Z,1,AthMu,SRP133100,leaf,TAIR10
SRR6862421,not applicable,WGS,299,3845338669,PRJNA434660,SAMN08567280,Plant,1247953020,SOUTH DAKOTA STATE UNIVERSITY,public,"bam,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",4-8 leaves seedings,Columbia,SRX3817394,USA,North America,USA:Maryland,Illumina HiSeq 4000,19,PAIRED,RANDOM,GENOMIC,Arabidopsis thaliana,ILLUMINA,2018-12-11T00:00:00Z,2018-03-19T18:10:00Z,1,AthMu,SRP133100,leaf,TAIR10
SRR6862422,not applicable,WGS,298,3322200226,PRJNA434660,SAMN08567280,Plant,1077555386,SOUTH DAKOTA STATE UNIVERSITY,public,"bam,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",4-8 leaves seedings,Columbia,SRX3817393,USA,North America,USA:Maryland,Illumina HiSeq 4000,23,PAIRED,RANDOM,GENOMIC,Arabidopsis thaliana,ILLUMINA,2018-12-11T00:00:00Z,2018-03-19T18:06:00Z,1,AthMu,SRP133100,leaf,TAIR10
SRR6862423,not applicable,WGS,298,3115571373,PRJNA434660,SAMN08567280,Plant,1043532996,SOUTH DAKOTA STATE UNIVERSITY,public,"bam,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",4-8 leaves seedings,Columbia,SRX3817392,USA,North America,USA:Maryland,Illumina HiSeq 4000,22,PAIRED,RANDOM,GENOMIC,Arabidopsis thaliana,ILLUMINA,2018-12-11T00:00:00Z,2018-03-19T18:07:00Z,1,AthMu,SRP133100,leaf,TAIR10
SRR6862424,not applicable,WGS,300,8381060965,PRJNA434660,SAMN08567280,Plant,2556810044,SOUTH DAKOTA STATE UNIVERSITY,public,"bam,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",4-8 leaves seedings,Columbia,SRX3817391,USA,North America,USA:Maryland,Illumina HiSeq 4000,83,PAIRED,RANDOM,GENOMIC,Arabidopsis thaliana,ILLUMINA,2018-12-11T00:00:00Z,2018-03-19T18:21:00Z,1,AthMu,SRP133100,leaf,TAIR10
SRR6862425,not applicable,WGS,300,6099873916,PRJNA434660,SAMN08567280,Plant,1921442516,SOUTH DAKOTA STATE UNIVERSITY,public,"bam,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",4-8 leaves seedings,Columbia,SRX3817390,USA,North America,USA:Maryland,Illumina HiSeq 4000,82,PAIRED,RANDOM,GENOMIC,Arabidopsis thaliana,ILLUMINA,2018-12-11T00:00:00Z,2018-03-19T18:14:00Z,1,AthMu,SRP133100,leaf,TAIR10
SRR6862426,not applicable,WGS,299,7998086460,PRJNA434660,SAMN08567280,Plant,2395059299,SOUTH DAKOTA STATE UNIVERSITY,public,"bam,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",4-8 leaves seedings,Columbia,SRX3817389,USA,North America,USA:Maryland,Illumina HiSeq 4000,81,PAIRED,RANDOM,GENOMIC,Arabidopsis thaliana,ILLUMINA,2018-12-11T00:00:00Z,2018-03-19T18:21:00Z,1,AthMu,SRP133100,leaf,TAIR10
SRR6862427,not applicable,WGS,300,6924834481,PRJNA434660,SAMN08567280,Plant,2060187915,SOUTH DAKOTA STATE UNIVERSITY,public,"bam,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",4-8 leaves seedings,Columbia,SRX3817388,USA,North America,USA:Maryland,Illumina HiSeq 4000,80,PAIRED,RANDOM,GENOMIC,Arabidopsis thaliana,ILLUMINA,2018-12-11T00:00:00Z,2018-03-19T18:13:00Z,1,AthMu,SRP133100,leaf,TAIR10
SRR6862428,not applicable,WGS,299,5324622853,PRJNA434660,SAMN08567280,Plant,1655311925,SOUTH DAKOTA STATE UNIVERSITY,public,"bam,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",4-8 leaves seedings,Columbia,SRX3817387,USA,North America,USA:Maryland,Illumina HiSeq 4000,79,PAIRED,RANDOM,GENOMIC,Arabidopsis thaliana,ILLUMINA,2018-12-11T00:00:00Z,2018-03-19T18:12:00Z,1,AthMu,SRP133100,leaf,TAIR10
SRR6862429,not applicable,WGS,299,5499504258,PRJNA434660,SAMN08567280,Plant,1696537358,SOUTH DAKOTA STATE UNIVERSITY,public,"bam,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",4-8 leaves seedings,Columbia,SRX3817386,USA,North America,USA:Maryland,Illumina HiSeq 4000,78,PAIRED,RANDOM,GENOMIC,Arabidopsis thaliana,ILLUMINA,2018-12-11T00:00:00Z,2018-03-19T18:14:00Z,1,AthMu,SRP133100,leaf,TAIR10
SRR6862430,not applicable,WGS,300,5803424223,PRJNA434660,SAMN08567280,Plant,1749104605,SOUTH DAKOTA STATE UNIVERSITY,public,"bam,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",4-8 leaves seedings,Columbia,SRX3817385,USA,North America,USA:Maryland,Illumina HiSeq 4000,77,PAIRED,RANDOM,GENOMIC,Arabidopsis thaliana,ILLUMINA,2018-12-11T00:00:00Z,2018-03-19T18:10:00Z,1,AthMu,SRP133100,leaf,TAIR10
