Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,dev_stage,Ecotype,Experiment,genotype,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Instrument,lib_id,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,SRA Study,tissue
SRR14307105,WGS,300,170745900,PRJNA723952,SAMN18837670,Plant,71910904,UNIVERSITY OF CALIFORNIA DAVIS,public,"fastq,sra,run.zq","s3,gs,ncbi","gs.us-east1,s3.us-east-1,ncbi.public",Vegetative,Col-0 x Ler-1 hybrids,SRX10662425,asy1Col-0/asy1Ler-1 x Col-0,uncalculated,uncalculated,not applicable,Illumina HiSeq 4000,Col/Ler 138 of 1108,aa_C_138,PAIRED,RANDOM,GENOMIC,Arabidopsis thaliana,ILLUMINA,2022-07-18T00:00:00Z,2021-04-23T03:59:00Z,1,aa_C_138,SRP315964,Leaf
SRR14307106,WGS,300,122737800,PRJNA723952,SAMN18837669,Plant,51736003,UNIVERSITY OF CALIFORNIA DAVIS,public,"fastq,sra,run.zq","s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.us-east1",Vegetative,Col-0 x Ler-1 hybrids,SRX10662424,asy1Col-0/asy1Ler-1 x Col-0,uncalculated,uncalculated,not applicable,Illumina HiSeq 4000,Col/Ler 137 of 1108,aa_C_137,PAIRED,RANDOM,GENOMIC,Arabidopsis thaliana,ILLUMINA,2022-07-18T00:00:00Z,2021-04-23T03:59:00Z,1,aa_C_137,SRP315964,Leaf
SRR14307107,WGS,300,135133200,PRJNA723952,SAMN18837668,Plant,57215945,UNIVERSITY OF CALIFORNIA DAVIS,public,"run.zq,sra,fastq","s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.us-east1",Vegetative,Col-0 x Ler-1 hybrids,SRX10662423,asy1Col-0/asy1Ler-1 x Col-0,uncalculated,uncalculated,not applicable,Illumina HiSeq 4000,Col/Ler 136 of 1108,aa_C_136,PAIRED,RANDOM,GENOMIC,Arabidopsis thaliana,ILLUMINA,2022-07-18T00:00:00Z,2021-04-23T03:59:00Z,1,aa_C_136,SRP315964,Leaf
SRR14307108,WGS,300,167777700,PRJNA723952,SAMN18837667,Plant,70966717,UNIVERSITY OF CALIFORNIA DAVIS,public,"fastq,sra,run.zq","gs,ncbi,s3","ncbi.public,gs.us-east1,s3.us-east-1",Vegetative,Col-0 x Ler-1 hybrids,SRX10662422,asy1Col-0/asy1Ler-1 x Col-0,uncalculated,uncalculated,not applicable,Illumina HiSeq 4000,Col/Ler 135 of 1108,aa_C_135,PAIRED,RANDOM,GENOMIC,Arabidopsis thaliana,ILLUMINA,2022-07-18T00:00:00Z,2021-04-23T03:59:00Z,1,aa_C_135,SRP315964,Leaf
SRR14307109,WGS,300,146136000,PRJNA723952,SAMN18837666,Plant,62607517,UNIVERSITY OF CALIFORNIA DAVIS,public,"sra,run.zq,fastq","ncbi,s3,gs","s3.us-east-1,ncbi.public,gs.us-east1",Vegetative,Col-0 x Ler-1 hybrids,SRX10662421,asy1Col-0/asy1Ler-1 x Col-0,uncalculated,uncalculated,not applicable,Illumina HiSeq 4000,Col/Ler 134 of 1108,aa_C_134,PAIRED,RANDOM,GENOMIC,Arabidopsis thaliana,ILLUMINA,2022-07-18T00:00:00Z,2021-04-23T03:59:00Z,1,aa_C_134,SRP315964,Leaf
SRR14307110,WGS,300,185509500,PRJNA723952,SAMN18837665,Plant,78588341,UNIVERSITY OF CALIFORNIA DAVIS,public,"sra,fastq,run.zq","gs,s3,ncbi","gs.us-east1,ncbi.public,s3.us-east-1",Vegetative,Col-0 x Ler-1 hybrids,SRX10662420,asy1Col-0/asy1Ler-1 x Col-0,uncalculated,uncalculated,not applicable,Illumina HiSeq 4000,Col/Ler 133 of 1108,aa_C_133,PAIRED,RANDOM,GENOMIC,Arabidopsis thaliana,ILLUMINA,2022-07-18T00:00:00Z,2021-04-23T03:59:00Z,1,aa_C_133,SRP315964,Leaf
SRR14307111,WGS,300,180776400,PRJNA723952,SAMN18837664,Plant,76979842,UNIVERSITY OF CALIFORNIA DAVIS,public,"run.zq,sra,fastq","ncbi,s3,gs","s3.us-east-1,ncbi.public,gs.us-east1",Vegetative,Col-0 x Ler-1 hybrids,SRX10662419,asy1Col-0/asy1Ler-1 x Col-0,uncalculated,uncalculated,not applicable,Illumina HiSeq 4000,Col/Ler 132 of 1108,aa_C_132,PAIRED,RANDOM,GENOMIC,Arabidopsis thaliana,ILLUMINA,2022-07-18T00:00:00Z,2021-04-23T03:59:00Z,1,aa_C_132,SRP315964,Leaf
SRR14307112,WGS,300,177275400,PRJNA723952,SAMN18837663,Plant,75207785,UNIVERSITY OF CALIFORNIA DAVIS,public,"sra,fastq,run.zq","ncbi,s3,gs","s3.us-east-1,ncbi.public,gs.us-east1",Vegetative,Col-0 x Ler-1 hybrids,SRX10662418,asy1Col-0/asy1Ler-1 x Col-0,uncalculated,uncalculated,not applicable,Illumina HiSeq 4000,Col/Ler 131 of 1108,aa_C_131,PAIRED,RANDOM,GENOMIC,Arabidopsis thaliana,ILLUMINA,2022-07-18T00:00:00Z,2021-04-23T03:59:00Z,1,aa_C_131,SRP315964,Leaf
SRR14307113,WGS,300,74134200,PRJNA723952,SAMN18837546,Plant,31248573,UNIVERSITY OF CALIFORNIA DAVIS,public,"sra,fastq,run.zq","gs,ncbi,s3","ncbi.public,gs.us-east1,s3.us-east-1",Vegetative,Col-0 x Ler-1 hybrids,SRX10662417,asy1Col-0/asy1Ler-1 x Col-0,uncalculated,uncalculated,not applicable,Illumina HiSeq 4000,Col/Ler 14 of 1108,aa_C_14,PAIRED,RANDOM,GENOMIC,Arabidopsis thaliana,ILLUMINA,2022-07-18T00:00:00Z,2021-04-23T03:59:00Z,1,aa_C_14,SRP315964,Leaf
SRR14307114,WGS,300,154200600,PRJNA723952,SAMN18837662,Plant,65284630,UNIVERSITY OF CALIFORNIA DAVIS,public,"fastq,run.zq,sra","ncbi,s3,gs","gs.us-east1,s3.us-east-1,ncbi.public",Vegetative,Col-0 x Ler-1 hybrids,SRX10662416,asy1Col-0/asy1Ler-1 x Col-0,uncalculated,uncalculated,not applicable,Illumina HiSeq 4000,Col/Ler 130 of 1108,aa_C_130,PAIRED,RANDOM,GENOMIC,Arabidopsis thaliana,ILLUMINA,2022-07-18T00:00:00Z,2021-04-23T03:59:00Z,1,aa_C_130,SRP315964,Leaf
SRR14307115,WGS,300,115509300,PRJNA723952,SAMN18837661,Plant,48805165,UNIVERSITY OF CALIFORNIA DAVIS,public,"fastq,run.zq,sra","s3,ncbi,gs","ncbi.public,s3.us-east-1,gs.us-east1",Vegetative,Col-0 x Ler-1 hybrids,SRX10662415,asy1Col-0/asy1Ler-1 x Col-0,uncalculated,uncalculated,not applicable,Illumina HiSeq 4000,Col/Ler 129 of 1108,aa_C_129,PAIRED,RANDOM,GENOMIC,Arabidopsis thaliana,ILLUMINA,2022-07-18T00:00:00Z,2021-04-23T03:59:00Z,1,aa_C_129,SRP315964,Leaf
SRR14307116,WGS,300,169991700,PRJNA723952,SAMN18837660,Plant,72092845,UNIVERSITY OF CALIFORNIA DAVIS,public,"sra,run.zq,fastq","ncbi,s3,gs","gs.us-east1,ncbi.public,s3.us-east-1",Vegetative,Col-0 x Ler-1 hybrids,SRX10662414,asy1Col-0/asy1Ler-1 x Col-0,uncalculated,uncalculated,not applicable,Illumina HiSeq 4000,Col/Ler 128 of 1108,aa_C_128,PAIRED,RANDOM,GENOMIC,Arabidopsis thaliana,ILLUMINA,2022-07-18T00:00:00Z,2021-04-23T03:59:00Z,1,aa_C_128,SRP315964,Leaf
SRR14307117,WGS,300,177544500,PRJNA723952,SAMN18837659,Plant,74567194,UNIVERSITY OF CALIFORNIA DAVIS,public,"run.zq,sra,fastq","s3,ncbi,gs","gs.us-east1,ncbi.public,s3.us-east-1",Vegetative,Col-0 x Ler-1 hybrids,SRX10662413,asy1Col-0/asy1Ler-1 x Col-0,uncalculated,uncalculated,not applicable,Illumina HiSeq 4000,Col/Ler 127 of 1108,aa_C_127,PAIRED,RANDOM,GENOMIC,Arabidopsis thaliana,ILLUMINA,2022-07-18T00:00:00Z,2021-04-23T03:59:00Z,1,aa_C_127,SRP315964,Leaf
SRR14307118,WGS,300,210478200,PRJNA723952,SAMN18837658,Plant,88237173,UNIVERSITY OF CALIFORNIA DAVIS,public,"run.zq,sra,fastq","ncbi,s3,gs","s3.us-east-1,gs.us-east1,ncbi.public",Vegetative,Col-0 x Ler-1 hybrids,SRX10662412,asy1Col-0/asy1Ler-1 x Col-0,uncalculated,uncalculated,not applicable,Illumina HiSeq 4000,Col/Ler 126 of 1108,aa_C_126,PAIRED,RANDOM,GENOMIC,Arabidopsis thaliana,ILLUMINA,2022-07-18T00:00:00Z,2021-04-23T03:59:00Z,1,aa_C_126,SRP315964,Leaf
SRR14307119,WGS,300,105981000,PRJNA723952,SAMN18837657,Plant,44086666,UNIVERSITY OF CALIFORNIA DAVIS,public,"run.zq,sra,fastq","s3,ncbi,gs","gs.us-east1,s3.us-east-1,ncbi.public",Vegetative,Col-0 x Ler-1 hybrids,SRX10662411,asy1Col-0/asy1Ler-1 x Col-0,uncalculated,uncalculated,not applicable,Illumina HiSeq 4000,Col/Ler 125 of 1108,aa_C_125,PAIRED,RANDOM,GENOMIC,Arabidopsis thaliana,ILLUMINA,2022-07-18T00:00:00Z,2021-04-23T03:59:00Z,1,aa_C_125,SRP315964,Leaf
SRR14307120,WGS,300,148117800,PRJNA723952,SAMN18837656,Plant,62419383,UNIVERSITY OF CALIFORNIA DAVIS,public,"run.zq,fastq,sra","ncbi,s3,gs","s3.us-east-1,ncbi.public,gs.us-east1",Vegetative,Col-0 x Ler-1 hybrids,SRX10662410,asy1Col-0/asy1Ler-1 x Col-0,uncalculated,uncalculated,not applicable,Illumina HiSeq 4000,Col/Ler 124 of 1108,aa_C_124,PAIRED,RANDOM,GENOMIC,Arabidopsis thaliana,ILLUMINA,2022-07-18T00:00:00Z,2021-04-23T04:00:00Z,1,aa_C_124,SRP315964,Leaf
SRR14307121,WGS,300,198671700,PRJNA723952,SAMN18837655,Plant,83801632,UNIVERSITY OF CALIFORNIA DAVIS,public,"run.zq,sra,fastq","s3,ncbi,gs","gs.us-east1,ncbi.public,s3.us-east-1",Vegetative,Col-0 x Ler-1 hybrids,SRX10662409,asy1Col-0/asy1Ler-1 x Col-0,uncalculated,uncalculated,not applicable,Illumina HiSeq 4000,Col/Ler 123 of 1108,aa_C_123,PAIRED,RANDOM,GENOMIC,Arabidopsis thaliana,ILLUMINA,2022-07-18T00:00:00Z,2021-04-23T04:00:00Z,1,aa_C_123,SRP315964,Leaf
SRR14307122,WGS,300,118247700,PRJNA723952,SAMN18837654,Plant,50517611,UNIVERSITY OF CALIFORNIA DAVIS,public,"fastq,sra,run.zq","ncbi,s3,gs","ncbi.public,s3.us-east-1,gs.us-east1",Vegetative,Col-0 x Ler-1 hybrids,SRX10662408,asy1Col-0/asy1Ler-1 x Col-0,uncalculated,uncalculated,not applicable,Illumina HiSeq 4000,Col/Ler 122 of 1108,aa_C_122,PAIRED,RANDOM,GENOMIC,Arabidopsis thaliana,ILLUMINA,2022-07-18T00:00:00Z,2021-04-23T04:00:00Z,1,aa_C_122,SRP315964,Leaf
SRR14307123,WGS,300,189008400,PRJNA723952,SAMN18837653,Plant,80117679,UNIVERSITY OF CALIFORNIA DAVIS,public,"fastq,run.zq,sra","s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.us-east1",Vegetative,Col-0 x Ler-1 hybrids,SRX10662407,asy1Col-0/asy1Ler-1 x Col-0,uncalculated,uncalculated,not applicable,Illumina HiSeq 4000,Col/Ler 121 of 1108,aa_C_121,PAIRED,RANDOM,GENOMIC,Arabidopsis thaliana,ILLUMINA,2022-07-18T00:00:00Z,2021-04-23T03:59:00Z,1,aa_C_121,SRP315964,Leaf
