Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,dev_stage,Ecotype,Experiment,genotype,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Instrument,lib_id,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,SRA Study,tissue
SRR14315885,WGS,300,231042600,PRJNA723952,SAMN18854919,Plant,99761957,UNIVERSITY OF CALIFORNIA DAVIS,public,"run.zq,sra,fastq","ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.us-east1",Vegetative,Col-0 x Ler-1 hybrids,SRX10671288,Col-0 x asy1T142V-Col-0/asy1Ler-1,uncalculated,uncalculated,not applicable,Illumina HiSeq 4000,Col/Ler 937 of 1108,C_ta_21,PAIRED,RANDOM,GENOMIC,Arabidopsis thaliana,ILLUMINA,2022-07-18T00:00:00Z,2021-04-24T08:53:00Z,1,C_ta_21,SRP315964,Leaf
SRR14315886,WGS,300,223972800,PRJNA723952,SAMN18854918,Plant,97450554,UNIVERSITY OF CALIFORNIA DAVIS,public,"fastq,sra,run.zq","s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.us-east1",Vegetative,Col-0 x Ler-1 hybrids,SRX10671287,Col-0 x asy1T142V-Col-0/asy1Ler-1,uncalculated,uncalculated,not applicable,Illumina HiSeq 4000,Col/Ler 936 of 1108,C_ta_20,PAIRED,RANDOM,GENOMIC,Arabidopsis thaliana,ILLUMINA,2022-07-18T00:00:00Z,2021-04-24T08:53:00Z,1,C_ta_20,SRP315964,Leaf
SRR14315887,WGS,300,224124900,PRJNA723952,SAMN18854624,Plant,96114811,UNIVERSITY OF CALIFORNIA DAVIS,public,"sra,fastq,run.zq","gs,s3,ncbi","ncbi.public,gs.us-east1,s3.us-east-1",Vegetative,Col-0 x Ler-1 hybrids,SRX10671285,Col-0 x asy1Col-0/asy1Ler-1,uncalculated,uncalculated,not applicable,Illumina HiSeq 4000,Col/Ler 642 of 1108,C_aa_94,PAIRED,RANDOM,GENOMIC,Arabidopsis thaliana,ILLUMINA,2022-07-18T00:00:00Z,2021-04-24T08:53:00Z,1,C_aa_94,SRP315964,Leaf
SRR14315888,WGS,300,161992800,PRJNA723952,SAMN18854623,Plant,69335042,UNIVERSITY OF CALIFORNIA DAVIS,public,"sra,run.zq,fastq","ncbi,gs,s3","s3.us-east-1,ncbi.public,gs.us-east1",Vegetative,Col-0 x Ler-1 hybrids,SRX10671284,Col-0 x asy1Col-0/asy1Ler-1,uncalculated,uncalculated,not applicable,Illumina HiSeq 4000,Col/Ler 641 of 1108,C_aa_93,PAIRED,RANDOM,GENOMIC,Arabidopsis thaliana,ILLUMINA,2022-07-18T00:00:00Z,2021-04-24T08:53:00Z,1,C_aa_93,SRP315964,Leaf
SRR14315889,WGS,300,222033000,PRJNA723952,SAMN18854621,Plant,94046947,UNIVERSITY OF CALIFORNIA DAVIS,public,"sra,run.zq,fastq","gs,ncbi,s3","s3.us-east-1,gs.us-east1,ncbi.public",Vegetative,Col-0 x Ler-1 hybrids,SRX10671282,Col-0 x asy1Col-0/asy1Ler-1,uncalculated,uncalculated,not applicable,Illumina HiSeq 4000,Col/Ler 639 of 1108,C_aa_91,PAIRED,RANDOM,GENOMIC,Arabidopsis thaliana,ILLUMINA,2022-07-18T00:00:00Z,2021-04-24T08:53:00Z,1,C_aa_91,SRP315964,Leaf
SRR14315890,WGS,300,148564500,PRJNA723952,SAMN18854540,Plant,65249329,UNIVERSITY OF CALIFORNIA DAVIS,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",Vegetative,Col-0 x Ler-1 hybrids,SRX10671281,Col-0 x asy1Col-0/asy1Ler-1,uncalculated,uncalculated,not applicable,Illumina HiSeq 4000,Col/Ler 558 of 1108,C_aa_10,PAIRED,RANDOM,GENOMIC,Arabidopsis thaliana,ILLUMINA,2022-07-18T00:00:00Z,2021-04-24T08:53:00Z,1,C_aa_10,SRP315964,Leaf
SRR14315891,WGS,300,184665000,PRJNA723952,SAMN18854620,Plant,78821976,UNIVERSITY OF CALIFORNIA DAVIS,public,"sra,run.zq,fastq","s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.us-east1",Vegetative,Col-0 x Ler-1 hybrids,SRX10671280,Col-0 x asy1Col-0/asy1Ler-1,uncalculated,uncalculated,not applicable,Illumina HiSeq 4000,Col/Ler 638 of 1108,C_aa_90,PAIRED,RANDOM,GENOMIC,Arabidopsis thaliana,ILLUMINA,2022-07-18T00:00:00Z,2021-04-24T08:53:00Z,1,C_aa_90,SRP315964,Leaf
SRR14315892,WGS,300,185403600,PRJNA723952,SAMN18854622,Plant,79306845,UNIVERSITY OF CALIFORNIA DAVIS,public,"run.zq,sra,fastq","ncbi,s3,gs","s3.us-east-1,gs.us-east1,ncbi.public",Vegetative,Col-0 x Ler-1 hybrids,SRX10671283,Col-0 x asy1Col-0/asy1Ler-1,uncalculated,uncalculated,not applicable,Illumina HiSeq 4000,Col/Ler 640 of 1108,C_aa_92,PAIRED,RANDOM,GENOMIC,Arabidopsis thaliana,ILLUMINA,2022-07-18T00:00:00Z,2021-04-24T08:53:00Z,1,C_aa_92,SRP315964,Leaf
SRR14315893,WGS,300,189802200,PRJNA723952,SAMN18854619,Plant,80474483,UNIVERSITY OF CALIFORNIA DAVIS,public,"run.zq,sra,fastq","s3,ncbi,gs","ncbi.public,s3.us-east-1,gs.us-east1",Vegetative,Col-0 x Ler-1 hybrids,SRX10671279,Col-0 x asy1Col-0/asy1Ler-1,uncalculated,uncalculated,not applicable,Illumina HiSeq 4000,Col/Ler 637 of 1108,C_aa_89,PAIRED,RANDOM,GENOMIC,Arabidopsis thaliana,ILLUMINA,2022-07-18T00:00:00Z,2021-04-24T08:53:00Z,1,C_aa_89,SRP315964,Leaf
SRR14315894,WGS,300,213717000,PRJNA723952,SAMN18854618,Plant,90970071,UNIVERSITY OF CALIFORNIA DAVIS,public,"run.zq,sra,fastq","gs,ncbi,s3","ncbi.public,gs.us-east1,s3.us-east-1",Vegetative,Col-0 x Ler-1 hybrids,SRX10671278,Col-0 x asy1Col-0/asy1Ler-1,uncalculated,uncalculated,not applicable,Illumina HiSeq 4000,Col/Ler 636 of 1108,C_aa_88,PAIRED,RANDOM,GENOMIC,Arabidopsis thaliana,ILLUMINA,2022-07-18T00:00:00Z,2021-04-24T08:53:00Z,1,C_aa_88,SRP315964,Leaf
SRR14315895,WGS,300,278636700,PRJNA723952,SAMN18854617,Plant,118601236,UNIVERSITY OF CALIFORNIA DAVIS,public,"run.zq,sra,fastq","s3,gs,ncbi","gs.us-east1,s3.us-east-1,ncbi.public",Vegetative,Col-0 x Ler-1 hybrids,SRX10671277,Col-0 x asy1Col-0/asy1Ler-1,uncalculated,uncalculated,not applicable,Illumina HiSeq 4000,Col/Ler 635 of 1108,C_aa_87,PAIRED,RANDOM,GENOMIC,Arabidopsis thaliana,ILLUMINA,2022-07-18T00:00:00Z,2021-04-24T08:54:00Z,1,C_aa_87,SRP315964,Leaf
SRR14315896,WGS,300,264127500,PRJNA723952,SAMN18854616,Plant,113561243,UNIVERSITY OF CALIFORNIA DAVIS,public,"fastq,run.zq,sra","ncbi,s3,gs","s3.us-east-1,gs.us-east1,ncbi.public",Vegetative,Col-0 x Ler-1 hybrids,SRX10671276,Col-0 x asy1Col-0/asy1Ler-1,uncalculated,uncalculated,not applicable,Illumina HiSeq 4000,Col/Ler 634 of 1108,C_aa_86,PAIRED,RANDOM,GENOMIC,Arabidopsis thaliana,ILLUMINA,2022-07-18T00:00:00Z,2021-04-24T08:54:00Z,1,C_aa_86,SRP315964,Leaf
SRR14315897,WGS,300,206871900,PRJNA723952,SAMN18854614,Plant,87560356,UNIVERSITY OF CALIFORNIA DAVIS,public,"fastq,run.zq,sra","s3,ncbi,gs","gs.us-east1,s3.us-east-1,ncbi.public",Vegetative,Col-0 x Ler-1 hybrids,SRX10671274,Col-0 x asy1Col-0/asy1Ler-1,uncalculated,uncalculated,not applicable,Illumina HiSeq 4000,Col/Ler 632 of 1108,C_aa_84,PAIRED,RANDOM,GENOMIC,Arabidopsis thaliana,ILLUMINA,2022-07-18T00:00:00Z,2021-04-24T08:54:00Z,1,C_aa_84,SRP315964,Leaf
SRR14315898,WGS,300,269882700,PRJNA723952,SAMN18854613,Plant,114619198,UNIVERSITY OF CALIFORNIA DAVIS,public,"run.zq,sra,fastq","gs,s3,ncbi","ncbi.public,s3.us-east-1,gs.us-east1",Vegetative,Col-0 x Ler-1 hybrids,SRX10671273,Col-0 x asy1Col-0/asy1Ler-1,uncalculated,uncalculated,not applicable,Illumina HiSeq 4000,Col/Ler 631 of 1108,C_aa_83,PAIRED,RANDOM,GENOMIC,Arabidopsis thaliana,ILLUMINA,2022-07-18T00:00:00Z,2021-04-24T08:54:00Z,1,C_aa_83,SRP315964,Leaf
SRR14315899,WGS,300,219297000,PRJNA723952,SAMN18854612,Plant,93262719,UNIVERSITY OF CALIFORNIA DAVIS,public,"sra,fastq,run.zq","s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.us-east1",Vegetative,Col-0 x Ler-1 hybrids,SRX10671272,Col-0 x asy1Col-0/asy1Ler-1,uncalculated,uncalculated,not applicable,Illumina HiSeq 4000,Col/Ler 630 of 1108,C_aa_82,PAIRED,RANDOM,GENOMIC,Arabidopsis thaliana,ILLUMINA,2022-07-18T00:00:00Z,2021-04-24T08:54:00Z,1,C_aa_82,SRP315964,Leaf
SRR14315900,WGS,300,462645000,PRJNA723952,SAMN18854615,Plant,199121110,UNIVERSITY OF CALIFORNIA DAVIS,public,"fastq,run.zq,sra","s3,gs,ncbi","gs.us-east1,s3.us-east-1,ncbi.public",Vegetative,Col-0 x Ler-1 hybrids,SRX10671275,Col-0 x asy1Col-0/asy1Ler-1,uncalculated,uncalculated,not applicable,Illumina HiSeq 4000,Col/Ler 633 of 1108,C_aa_85,PAIRED,RANDOM,GENOMIC,Arabidopsis thaliana,ILLUMINA,2022-07-18T00:00:00Z,2021-04-24T08:54:00Z,1,C_aa_85,SRP315964,Leaf
SRR14315901,WGS,300,127074300,PRJNA723952,SAMN18854611,Plant,54154717,UNIVERSITY OF CALIFORNIA DAVIS,public,"sra,fastq,run.zq","gs,s3,ncbi","s3.us-east-1,gs.us-east1,ncbi.public",Vegetative,Col-0 x Ler-1 hybrids,SRX10671271,Col-0 x asy1Col-0/asy1Ler-1,uncalculated,uncalculated,not applicable,Illumina HiSeq 4000,Col/Ler 629 of 1108,C_aa_81,PAIRED,RANDOM,GENOMIC,Arabidopsis thaliana,ILLUMINA,2022-07-18T00:00:00Z,2021-04-24T08:53:00Z,1,C_aa_81,SRP315964,Leaf
SRR14315902,WGS,300,115138800,PRJNA723952,SAMN18854539,Plant,50064693,UNIVERSITY OF CALIFORNIA DAVIS,public,"fastq,run.zq,sra","ncbi,gs,s3","gs.us-east1,s3.us-east-1,ncbi.public",Vegetative,Col-0 x Ler-1 hybrids,SRX10671270,Col-0 x asy1Col-0/asy1Ler-1,uncalculated,uncalculated,not applicable,Illumina HiSeq 4000,Col/Ler 557 of 1108,C_aa_9,PAIRED,RANDOM,GENOMIC,Arabidopsis thaliana,ILLUMINA,2022-07-18T00:00:00Z,2021-04-24T08:53:00Z,1,C_aa_9,SRP315964,Leaf
SRR14315903,WGS,300,156278100,PRJNA723952,SAMN18854610,Plant,66552924,UNIVERSITY OF CALIFORNIA DAVIS,public,"sra,run.zq,fastq","ncbi,s3,gs","gs.us-east1,s3.us-east-1,ncbi.public",Vegetative,Col-0 x Ler-1 hybrids,SRX10671269,Col-0 x asy1Col-0/asy1Ler-1,uncalculated,uncalculated,not applicable,Illumina HiSeq 4000,Col/Ler 628 of 1108,C_aa_80,PAIRED,RANDOM,GENOMIC,Arabidopsis thaliana,ILLUMINA,2022-07-18T00:00:00Z,2021-04-24T08:53:00Z,1,C_aa_80,SRP315964,Leaf
SRR14315904,WGS,300,186926100,PRJNA723952,SAMN18854609,Plant,79038089,UNIVERSITY OF CALIFORNIA DAVIS,public,"sra,run.zq,fastq","gs,ncbi,s3","s3.us-east-1,gs.us-east1,ncbi.public",Vegetative,Col-0 x Ler-1 hybrids,SRX10671268,Col-0 x asy1Col-0/asy1Ler-1,uncalculated,uncalculated,not applicable,Illumina HiSeq 4000,Col/Ler 627 of 1108,C_aa_79,PAIRED,RANDOM,GENOMIC,Arabidopsis thaliana,ILLUMINA,2022-07-18T00:00:00Z,2021-04-24T08:54:00Z,1,C_aa_79,SRP315964,Leaf
SRR14315905,WGS,300,160782600,PRJNA723952,SAMN18854607,Plant,68020192,UNIVERSITY OF CALIFORNIA DAVIS,public,"run.zq,fastq,sra","ncbi,gs,s3","s3.us-east-1,gs.us-east1,ncbi.public",Vegetative,Col-0 x Ler-1 hybrids,SRX10671266,Col-0 x asy1Col-0/asy1Ler-1,uncalculated,uncalculated,not applicable,Illumina HiSeq 4000,Col/Ler 625 of 1108,C_aa_77,PAIRED,RANDOM,GENOMIC,Arabidopsis thaliana,ILLUMINA,2022-07-18T00:00:00Z,2021-04-24T08:53:00Z,1,C_aa_77,SRP315964,Leaf
SRR14315906,WGS,300,103971000,PRJNA723952,SAMN18854606,Plant,48190170,UNIVERSITY OF CALIFORNIA DAVIS,public,"sra,fastq,run.zq","gs,ncbi,s3","ncbi.public,s3.us-east-1,gs.us-east1",Vegetative,Col-0 x Ler-1 hybrids,SRX10671265,Col-0 x asy1Col-0/asy1Ler-1,uncalculated,uncalculated,not applicable,Illumina HiSeq 4000,Col/Ler 624 of 1108,C_aa_76,PAIRED,RANDOM,GENOMIC,Arabidopsis thaliana,ILLUMINA,2022-07-18T00:00:00Z,2021-04-24T08:53:00Z,1,C_aa_76,SRP315964,Leaf
SRR14315907,WGS,300,170862300,PRJNA723952,SAMN18854916,Plant,74636790,UNIVERSITY OF CALIFORNIA DAVIS,public,"fastq,run.zq,sra","s3,ncbi,gs","gs.us-east1,ncbi.public,s3.us-east-1",Vegetative,Col-0 x Ler-1 hybrids,SRX10671263,Col-0 x asy1T142V-Col-0/asy1Ler-1,uncalculated,uncalculated,not applicable,Illumina HiSeq 4000,Col/Ler 934 of 1108,C_ta_18,PAIRED,RANDOM,GENOMIC,Arabidopsis thaliana,ILLUMINA,2022-07-18T00:00:00Z,2021-04-24T08:54:00Z,1,C_ta_18,SRP315964,Leaf
SRR14315908,WGS,300,236077800,PRJNA723952,SAMN18854915,Plant,102053560,UNIVERSITY OF CALIFORNIA DAVIS,public,"sra,fastq,run.zq","gs,s3,ncbi","ncbi.public,gs.us-east1,s3.us-east-1",Vegetative,Col-0 x Ler-1 hybrids,SRX10671262,Col-0 x asy1T142V-Col-0/asy1Ler-1,uncalculated,uncalculated,not applicable,Illumina HiSeq 4000,Col/Ler 933 of 1108,C_ta_17,PAIRED,RANDOM,GENOMIC,Arabidopsis thaliana,ILLUMINA,2022-07-18T00:00:00Z,2021-04-24T08:53:00Z,1,C_ta_17,SRP315964,Leaf
SRR14315909,WGS,300,193938300,PRJNA723952,SAMN18854914,Plant,83974842,UNIVERSITY OF CALIFORNIA DAVIS,public,"sra,fastq,run.zq","s3,gs,ncbi","s3.us-east-1,ncbi.public,gs.us-east1",Vegetative,Col-0 x Ler-1 hybrids,SRX10671261,Col-0 x asy1T142V-Col-0/asy1Ler-1,uncalculated,uncalculated,not applicable,Illumina HiSeq 4000,Col/Ler 932 of 1108,C_ta_16,PAIRED,RANDOM,GENOMIC,Arabidopsis thaliana,ILLUMINA,2022-07-18T00:00:00Z,2021-04-24T08:54:00Z,1,C_ta_16,SRP315964,Leaf
SRR14315910,WGS,300,189076200,PRJNA723952,SAMN18854917,Plant,81572699,UNIVERSITY OF CALIFORNIA DAVIS,public,"sra,fastq,run.zq","ncbi,s3,gs","gs.us-east1,ncbi.public,s3.us-east-1",Vegetative,Col-0 x Ler-1 hybrids,SRX10671264,Col-0 x asy1T142V-Col-0/asy1Ler-1,uncalculated,uncalculated,not applicable,Illumina HiSeq 4000,Col/Ler 935 of 1108,C_ta_19,PAIRED,RANDOM,GENOMIC,Arabidopsis thaliana,ILLUMINA,2022-07-18T00:00:00Z,2021-04-24T08:54:00Z,1,C_ta_19,SRP315964,Leaf
SRR14315911,WGS,300,210278400,PRJNA723952,SAMN18854913,Plant,90591318,UNIVERSITY OF CALIFORNIA DAVIS,public,"fastq,sra,run.zq","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",Vegetative,Col-0 x Ler-1 hybrids,SRX10671260,Col-0 x asy1T142V-Col-0/asy1Ler-1,uncalculated,uncalculated,not applicable,Illumina HiSeq 4000,Col/Ler 931 of 1108,C_ta_15,PAIRED,RANDOM,GENOMIC,Arabidopsis thaliana,ILLUMINA,2022-07-18T00:00:00Z,2021-04-24T08:54:00Z,1,C_ta_15,SRP315964,Leaf
SRR14315912,WGS,300,250001100,PRJNA723952,SAMN18854912,Plant,108180121,UNIVERSITY OF CALIFORNIA DAVIS,public,"fastq,run.zq,sra","gs,s3,ncbi","gs.us-east1,s3.us-east-1,ncbi.public",Vegetative,Col-0 x Ler-1 hybrids,SRX10671259,Col-0 x asy1T142V-Col-0/asy1Ler-1,uncalculated,uncalculated,not applicable,Illumina HiSeq 4000,Col/Ler 930 of 1108,C_ta_14,PAIRED,RANDOM,GENOMIC,Arabidopsis thaliana,ILLUMINA,2022-07-18T00:00:00Z,2021-04-24T08:54:00Z,1,C_ta_14,SRP315964,Leaf
SRR14315913,WGS,300,214662600,PRJNA723952,SAMN18854911,Plant,92354059,UNIVERSITY OF CALIFORNIA DAVIS,public,"run.zq,sra,fastq","gs,ncbi,s3","ncbi.public,s3.us-east-1,gs.us-east1",Vegetative,Col-0 x Ler-1 hybrids,SRX10671258,Col-0 x asy1T142V-Col-0/asy1Ler-1,uncalculated,uncalculated,not applicable,Illumina HiSeq 4000,Col/Ler 929 of 1108,C_ta_13,PAIRED,RANDOM,GENOMIC,Arabidopsis thaliana,ILLUMINA,2022-07-18T00:00:00Z,2021-04-24T08:54:00Z,1,C_ta_13,SRP315964,Leaf
SRR14315914,WGS,300,285057300,PRJNA723952,SAMN18854569,Plant,120691190,UNIVERSITY OF CALIFORNIA DAVIS,public,"sra,fastq,run.zq","gs,ncbi,s3","ncbi.public,gs.us-east1,s3.us-east-1",Vegetative,Col-0 x Ler-1 hybrids,SRX10671257,Col-0 x asy1Col-0/asy1Ler-1,uncalculated,uncalculated,not applicable,Illumina HiSeq 4000,Col/Ler 587 of 1108,C_aa_39,PAIRED,RANDOM,GENOMIC,Arabidopsis thaliana,ILLUMINA,2022-07-18T00:00:00Z,2021-04-24T08:54:00Z,1,C_aa_39,SRP315964,Leaf
SRR14315915,WGS,300,228096300,PRJNA723952,SAMN18854909,Plant,101087224,UNIVERSITY OF CALIFORNIA DAVIS,public,"fastq,run.zq,sra","gs,s3,ncbi","gs.us-east1,s3.us-east-1,ncbi.public",Vegetative,Col-0 x Ler-1 hybrids,SRX10671255,Col-0 x asy1T142V-Col-0/asy1Ler-1,uncalculated,uncalculated,not applicable,Illumina HiSeq 4000,Col/Ler 927 of 1108,C_ta_11,PAIRED,RANDOM,GENOMIC,Arabidopsis thaliana,ILLUMINA,2022-07-18T00:00:00Z,2021-04-24T08:54:00Z,1,C_ta_11,SRP315964,Leaf
SRR14315916,WGS,300,241678200,PRJNA723952,SAMN18854908,Plant,106222938,UNIVERSITY OF CALIFORNIA DAVIS,public,"sra,run.zq,fastq","s3,ncbi,gs","ncbi.public,gs.us-east1,s3.us-east-1",Vegetative,Col-0 x Ler-1 hybrids,SRX10671254,Col-0 x asy1T142V-Col-0/asy1Ler-1,uncalculated,uncalculated,not applicable,Illumina HiSeq 4000,Col/Ler 926 of 1108,C_ta_10,PAIRED,RANDOM,GENOMIC,Arabidopsis thaliana,ILLUMINA,2022-07-18T00:00:00Z,2021-04-24T08:54:00Z,1,C_ta_10,SRP315964,Leaf
SRR14315917,WGS,300,40617600,PRJNA723952,SAMN18854907,Plant,19591232,UNIVERSITY OF CALIFORNIA DAVIS,public,"run.zq,sra,fastq","s3,gs,ncbi","s3.us-east-1,ncbi.public,gs.us-east1",Vegetative,Col-0 x Ler-1 hybrids,SRX10671253,Col-0 x asy1T142V-Col-0/asy1Ler-1,uncalculated,uncalculated,not applicable,Illumina HiSeq 4000,Col/Ler 925 of 1108,C_ta_9,PAIRED,RANDOM,GENOMIC,Arabidopsis thaliana,ILLUMINA,2022-07-18T00:00:00Z,2021-04-24T08:54:00Z,1,C_ta_9,SRP315964,Leaf
SRR14315918,WGS,300,71485500,PRJNA723952,SAMN18854910,Plant,32227179,UNIVERSITY OF CALIFORNIA DAVIS,public,"fastq,run.zq,sra","s3,gs,ncbi","gs.us-east1,ncbi.public,s3.us-east-1",Vegetative,Col-0 x Ler-1 hybrids,SRX10671256,Col-0 x asy1T142V-Col-0/asy1Ler-1,uncalculated,uncalculated,not applicable,Illumina HiSeq 4000,Col/Ler 928 of 1108,C_ta_12,PAIRED,RANDOM,GENOMIC,Arabidopsis thaliana,ILLUMINA,2022-07-18T00:00:00Z,2021-04-24T08:54:00Z,1,C_ta_12,SRP315964,Leaf
SRR14315919,WGS,300,232836000,PRJNA723952,SAMN18854906,Plant,103608856,UNIVERSITY OF CALIFORNIA DAVIS,public,"sra,fastq,run.zq","ncbi,gs,s3","gs.us-east1,s3.us-east-1,ncbi.public",Vegetative,Col-0 x Ler-1 hybrids,SRX10671252,Col-0 x asy1T142V-Col-0/asy1Ler-1,uncalculated,uncalculated,not applicable,Illumina HiSeq 4000,Col/Ler 924 of 1108,C_ta_8,PAIRED,RANDOM,GENOMIC,Arabidopsis thaliana,ILLUMINA,2022-07-18T00:00:00Z,2021-04-24T08:54:00Z,1,C_ta_8,SRP315964,Leaf
SRR14315920,WGS,300,125785500,PRJNA723952,SAMN18854905,Plant,58751560,UNIVERSITY OF CALIFORNIA DAVIS,public,"fastq,sra,run.zq","gs,ncbi,s3","s3.us-east-1,gs.us-east1,ncbi.public",Vegetative,Col-0 x Ler-1 hybrids,SRX10671251,Col-0 x asy1T142V-Col-0/asy1Ler-1,uncalculated,uncalculated,not applicable,Illumina HiSeq 4000,Col/Ler 923 of 1108,C_ta_7,PAIRED,RANDOM,GENOMIC,Arabidopsis thaliana,ILLUMINA,2022-07-18T00:00:00Z,2021-04-24T08:54:00Z,1,C_ta_7,SRP315964,Leaf
SRR14315921,WGS,300,151598400,PRJNA723952,SAMN18854904,Plant,70513226,UNIVERSITY OF CALIFORNIA DAVIS,public,"run.zq,fastq,sra","s3,ncbi,gs","gs.us-east1,s3.us-east-1,ncbi.public",Vegetative,Col-0 x Ler-1 hybrids,SRX10671250,Col-0 x asy1T142V-Col-0/asy1Ler-1,uncalculated,uncalculated,not applicable,Illumina HiSeq 4000,Col/Ler 922 of 1108,C_ta_6,PAIRED,RANDOM,GENOMIC,Arabidopsis thaliana,ILLUMINA,2022-07-18T00:00:00Z,2021-04-24T08:54:00Z,1,C_ta_6,SRP315964,Leaf
SRR14315922,WGS,300,175549500,PRJNA723952,SAMN18854903,Plant,79468394,UNIVERSITY OF CALIFORNIA DAVIS,public,"sra,run.zq,fastq","ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.us-east1",Vegetative,Col-0 x Ler-1 hybrids,SRX10671249,Col-0 x asy1T142V-Col-0/asy1Ler-1,uncalculated,uncalculated,not applicable,Illumina HiSeq 4000,Col/Ler 921 of 1108,C_ta_5,PAIRED,RANDOM,GENOMIC,Arabidopsis thaliana,ILLUMINA,2022-07-18T00:00:00Z,2021-04-24T08:54:00Z,1,C_ta_5,SRP315964,Leaf
SRR14315923,WGS,300,194815500,PRJNA723952,SAMN18854901,Plant,85920279,UNIVERSITY OF CALIFORNIA DAVIS,public,"run.zq,sra,fastq","gs,s3,ncbi","s3.us-east-1,ncbi.public,gs.us-east1",Vegetative,Col-0 x Ler-1 hybrids,SRX10671247,Col-0 x asy1T142V-Col-0/asy1Ler-1,uncalculated,uncalculated,not applicable,Illumina HiSeq 4000,Col/Ler 919 of 1108,C_ta_3,PAIRED,RANDOM,GENOMIC,Arabidopsis thaliana,ILLUMINA,2022-07-18T00:00:00Z,2021-04-24T08:54:00Z,1,C_ta_3,SRP315964,Leaf
SRR14315924,WGS,300,198467400,PRJNA723952,SAMN18854568,Plant,84909721,UNIVERSITY OF CALIFORNIA DAVIS,public,"fastq,sra,run.zq","ncbi,gs,s3","ncbi.public,gs.us-east1,s3.us-east-1",Vegetative,Col-0 x Ler-1 hybrids,SRX10671246,Col-0 x asy1Col-0/asy1Ler-1,uncalculated,uncalculated,not applicable,Illumina HiSeq 4000,Col/Ler 586 of 1108,C_aa_38,PAIRED,RANDOM,GENOMIC,Arabidopsis thaliana,ILLUMINA,2022-07-18T00:00:00Z,2021-04-24T08:54:00Z,1,C_aa_38,SRP315964,Leaf
SRR14315925,WGS,300,324202200,PRJNA723952,SAMN18854900,Plant,142614042,UNIVERSITY OF CALIFORNIA DAVIS,public,"sra,fastq,run.zq","ncbi,s3,gs","gs.us-east1,ncbi.public,s3.us-east-1",Vegetative,Col-0 x Ler-1 hybrids,SRX10671245,Col-0 x asy1T142V-Col-0/asy1Ler-1,uncalculated,uncalculated,not applicable,Illumina HiSeq 4000,Col/Ler 918 of 1108,C_ta_2,PAIRED,RANDOM,GENOMIC,Arabidopsis thaliana,ILLUMINA,2022-07-18T00:00:00Z,2021-04-24T08:55:00Z,1,C_ta_2,SRP315964,Leaf
SRR14315926,WGS,300,176508600,PRJNA723952,SAMN18854902,Plant,77668851,UNIVERSITY OF CALIFORNIA DAVIS,public,"fastq,sra,run.zq","gs,s3,ncbi","s3.us-east-1,ncbi.public,gs.us-east1",Vegetative,Col-0 x Ler-1 hybrids,SRX10671248,Col-0 x asy1T142V-Col-0/asy1Ler-1,uncalculated,uncalculated,not applicable,Illumina HiSeq 4000,Col/Ler 920 of 1108,C_ta_4,PAIRED,RANDOM,GENOMIC,Arabidopsis thaliana,ILLUMINA,2022-07-18T00:00:00Z,2021-04-24T08:54:00Z,1,C_ta_4,SRP315964,Leaf
SRR14315927,WGS,300,168492900,PRJNA723952,SAMN18854899,Plant,75081182,UNIVERSITY OF CALIFORNIA DAVIS,public,"fastq,sra,run.zq","gs,s3,ncbi","s3.us-east-1,gs.us-east1,ncbi.public",Vegetative,Col-0 x Ler-1 hybrids,SRX10671244,Col-0 x asy1T142V-Col-0/asy1Ler-1,uncalculated,uncalculated,not applicable,Illumina HiSeq 4000,Col/Ler 917 of 1108,C_ta_1,PAIRED,RANDOM,GENOMIC,Arabidopsis thaliana,ILLUMINA,2022-07-18T00:00:00Z,2021-04-24T08:55:00Z,1,C_ta_1,SRP315964,Leaf
SRR14315928,WGS,300,256119900,PRJNA723952,SAMN18854605,Plant,108460721,UNIVERSITY OF CALIFORNIA DAVIS,public,"sra,fastq,run.zq","ncbi,s3,gs","s3.us-east-1,gs.us-east1,ncbi.public",Vegetative,Col-0 x Ler-1 hybrids,SRX10671243,Col-0 x asy1Col-0/asy1Ler-1,uncalculated,uncalculated,not applicable,Illumina HiSeq 4000,Col/Ler 623 of 1108,C_aa_75,PAIRED,RANDOM,GENOMIC,Arabidopsis thaliana,ILLUMINA,2022-07-18T00:00:00Z,2021-04-24T08:55:00Z,1,C_aa_75,SRP315964,Leaf
